filename,learning_rate,epoch,l1_penalty,l2_penalty,accuracy,accuracy_std,recall,recall_std,specificity,specificity_std,auc,auc_std,balanced_accuracy,balanced_accuracy_std,f1,f1_std
Model-252.npz,0.1,150,3.0,0.05,0.677925407925408,0.0467399448893429,0.28873517786561265,0.12809144885262744,0.8868770764119601,0.05475462598885854,0.7123753058535667,0.08068832255091202,0.5878061271387863,0.06105638991145463,0.3741139984713181,0.12447031850890503
Model-255.npz,0.1,150,3.0,2.0,0.6348018648018648,0.08040100119831607,0.2535573122529644,0.18881545382163106,0.840033222591362,0.08388346135937565,0.5932777872616093,0.1871131912022178,0.5467952674221633,0.09944786653578706,0.3031053817803019,0.20037715655139063
Model-253.npz,0.1,150,3.0,0.07,0.6978554778554779,0.0437640085134185,0.3073122529644269,0.18512048752290247,0.9081395348837209,0.06006537225821057,0.7008421642395353,0.12601491054695496,0.607725893924074,0.0725325758193863,0.38287258703328975,0.1889383392683542
Model-256.npz,0.1,150,3.0,3.0,0.6240792540792541,0.08417520534727199,0.2274703557312253,0.19815828189140636,0.8374307862679956,0.07442824451091085,0.5418164747285071,0.1810006082664934,0.5324505709996104,0.10576443502259943,0.2729241164345529,0.2097099065681235
Model-262.npz,0.05,150,0,1.0,0.6686713286713288,0.026993006993007003,0.3237154150197628,0.17407645933597438,0.8540420819490586,0.0747701873957338,0.7035533728152534,0.1036036787291971,0.5888787484844109,0.05595869153595282,0.3773212430793076,0.15857854818203249
Model-259.npz,0.05,150,0,0.03,0.7316083916083918,0.059152388903501836,0.5867588932806324,0.14761787560418976,0.8093023255813954,0.08841038646099285,0.7771149309066396,0.05266610257925519,0.6980306094310138,0.06897217317382635,0.5991087741877216,0.09164189649930292
Model-263.npz,0.05,150,0,2.0,0.6671328671328671,0.028621823199522216,0.3237154150197628,0.17407645933597438,0.8516611295681062,0.07650877795919878,0.6899318914991313,0.10979965007022731,0.5876882722939346,0.05628876462441713,0.3762956020536666,0.15839527796577818
Model-258.npz,0.05,150,0,0.01,0.7423543123543124,0.05435686022269547,0.6088932806324111,0.14045934357021442,0.813953488372093,0.08131243846869601,0.782348036190301,0.05288741428215698,0.711423384502252,0.06441466688744531,0.6182619828535718,0.08612500476976997
Model-264.npz,0.05,150,0,3.0,0.6352447552447553,0.06352422302438171,0.23675889328063238,0.1290645478700936,0.849390919158361,0.08250574143454242,0.6276596675990003,0.16310537742420558,0.5430749062194968,0.07027351358723921,0.2981414291190058,0.15487211263088094
Model-260.npz,0.05,150,0,0.05,0.7331468531468532,0.06336218331864943,0.5780632411067194,0.1548561164965246,0.816389811738649,0.0964483101265056,0.7756295440319707,0.05649180159967295,0.6972265264226841,0.07240167653151271,0.5961948741702938,0.09658835005407063
Model-257.npz,0.05,150,0,0,0.743869463869464,0.05586054372788697,0.617588932806324,0.137454109234608,0.8115725359911407,0.08380908555229473,0.7863078276627317,0.05165849989520009,0.7145807343987324,0.06439554755006953,0.6236240545115034,0.08338988481497842
Model-261.npz,0.05,150,0,0.07,0.7162470862470862,0.0634789800532577,0.5258893280632411,0.16813629477290054,0.8187153931339978,0.0938018489501579,0.7719157485588224,0.058582651380353644,0.6723023605986194,0.07629752953391856,0.5535527879931874,0.11463908981839485
Model-267.npz,0.05,150,0.01,0.03,0.7254778554778556,0.0584246146170933,0.5650197628458498,0.1595889878227569,0.8116279069767443,0.09123915345571783,0.7751920475884075,0.05658265740605323,0.688323834911297,0.07023145569006149,0.5813773601240564,0.10092748033328737
